Станция,Номер линии,Линия,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
Площадь Революции,12,АРБАТСК-ПОКРОВСК,15539,12822,15968,4117,1940,15761,15993,12082,7231,14818,10890,12773,19867,14887,13352,7611,5047,6529,7693,12948,7659,14884,12911,3985,15109,9505,1853,11301,18721,4338,17447,17076,8087,4272,14226,13007,19248,12888,10296,9592,1039,1840,10344,3357,6928,3971,10194,4461,9570,13299,7307,17749,15390,4122,17352,16842,13281,13540,8690,19041,1270,7052,11099,18254,2528,11017,6978,5782,15226,8533,6534,14410,7290,11313,3713,17608,3768,3626,16805,6611,10130,17690,9315,10409,18894,7336,8524,11265,11049,1501,9222,2670.513835518629
Курская,12,АРБАТСК-ПОКРОВСК,3282,13762,8784,10962,13542,14731,15235,19006,13230,8703,11466,10790,11908,2687,14422,18169,10617,4547,12837,5467,14702,2830,10400,6711,19057,7583,16313,4969,3690,10570,14968,12521,18207,17530,4119,4501,10161,7410,19730,8251,2949,4384,8239,7298,10738,3932,4805,15355,12818,17274,2234,7409,15501,1426,6981,18146,18944,9950,8616,12725,14257,13605,10730,1265,8542,8354,6148,7840,1596,6219,2582,15438,18345,2003,8728,5214,10778,1703,16459,4200,17817,16089,11007,19221,9227,14097,11201,3886,18530,13989,15907,12839.020733003694
Бауманская,12,АРБАТСК-ПОКРОВСК,2361,12188,6114,13093,13101,8059,10283,19033,4066,13994,1761,10268,10918,14134,11111,2828,15717,18719,18483,6817,8044,16462,8214,2042,18387,9630,8013,17859,8418,3377,5604,1850,2159,8028,17330,15273,15575,7246,15488,15334,12413,6832,1314,2211,19486,17277,4747,4998,15046,8172,3317,19042,2709,10323,4665,6035,5892,3933,12751,10302,3512,4502,13933,19172,14695,18389,7945,6569,19118,10746,12114,5825,5671,2148,7382,2450,8460,9984,3926,11780,15314,16573,16528,12298,5692,11714,3230,19109,2316,2267,13203,4266.884363612979
Электрозаводская,12,АРБАТСК-ПОКРОВСК,6039,13208,2813,12760,4546,9415,3789,13115,10834,2061,19528,15950,3906,14377,1651,8958,12532,18407,18258,8195,9229,11708,2768,5283,18050,7258,6689,1310,6656,14151,18819,9322,3070,9909,15798,17762,18107,2036,1083,9236,11274,2047,10895,9860,5336,3024,12681,9216,19147,11119,15866,19391,2648,9143,10839,16449,1395,16841,9503,18879,2009,4844,5581,13489,11331,4882,10103,1238,16013,3031,18036,13922,18247,19594,10846,15290,6677,2532,18253,10704,8210,7991,15105,8875,16401,6229,3503,8700,12731,13087,15145,4095.8197206333107
Семёновская,12,АРБАТСК-ПОКРОВСК,10944,11611,8317,3973,5641,14404,11870,11392,6831,5836,7729,17290,6794,15805,14639,13240,1525,10072,8384,5456,9508,17056,2993,15494,12168,11236,17381,8679,8072,2708,13022,16903,8910,8932,11404,14044,15517,12261,14713,2847,17707,7190,7676,15222,13505,8600,16523,1826,5222,11961,8876,13722,7689,10088,18962,11832,1670,19784,14830,5291,5207,6496,9915,4864,9568,18624,13816,8586,13148,3219,16562,4176,12402,10229,6768,16151,12124,2097,15395,14381,2518,19627,5288,1085,3312,6492,19343,8628,7802,14114,9219,3392.267768518591
Партизанская,12,АРБАТСК-ПОКРОВСК,5248,13737,15186,2796,12053,17414,3437,14377,5977,15462,1551,9869,7262,4614,4128,18739,14313,13095,8960,11062,10815,14071,10398,7136,3033,8557,12801,10230,13672,12434,15697,11315,7482,1537,11343,11279,14877,8240,15716,14762,7085,15018,1445,3334,2482,8011,7570,16357,18412,16874,16243,9580,14898,4754,18859,5335,4464,12816,16441,3428,13680,5004,3299,11768,12367,16205,9332,7279,2930,6692,3871,19812,18184,3410,17990,6812,8898,7439,7781,17115,13630,3815,11255,13323,8254,11266,19605,9600,5144,18615,11918,3235.3693159528884
Измайловская,12,АРБАТСК-ПОКРОВСК,6629,17253,13845,1306,18870,3773,13396,9146,18189,7926,16604,9742,8429,1168,12001,8168,12077,13659,12790,19893,4939,13320,10537,6145,14778,7509,16775,17728,17595,6647,12930,7865,12712,18770,6727,15931,9892,7410,18439,6225,4982,11746,2845,11237,18008,6017,9340,4662,17745,17801,7816,7678,4359,11323,15134,6805,9606,7438,5923,5144,15711,13854,7635,9484,3746,6814,6771,6974,11185,13532,15351,8483,17481,3303,1866,17574,13221,7199,12147,8827,18892,17930,13309,19776,13313,11247,4677,13341,14543,13018,19834,10518.178467161471
Первомайская,12,АРБАТСК-ПОКРОВСК,8135,12514,5090,15405,16072,11556,9470,8370,10499,13584,9009,9666,10099,18101,18648,15549,12602,9258,11982,16599,18219,19647,5609,5500,15656,11357,5440,16909,19710,14337,6610,8048,13459,19274,6640,16872,17510,16445,1459,15786,18399,11866,5155,14565,19442,11571,1069,4014,1655,15284,3973,18819,11264,13176,12607,1602,19251,4836,7507,5675,10023,13610,15299,3187,18468,15221,9963,12913,15135,13942,8255,3939,10084,19798,15225,13536,8473,11700,4511,10349,3751,6571,19032,14693,7394,15369,11791,7694,18883,12798,3221,9583.640290792659
Щёлковская,12,АРБАТСК-ПОКРОВСК,18764,8972,19103,17325,18240,6218,19266,16846,10266,2116,17731,11389,17446,3852,4708,12895,4604,10993,13697,15256,3824,7506,14600,7979,16751,2844,3056,17093,19134,4151,16556,4730,5785,4284,6332,1499,12789,7917,9442,12678,7326,6517,10529,19931,13593,19619,2560,15369,7723,1257,7373,9505,8352,13594,16308,17352,3161,2428,6429,1571,7046,5821,6703,1257,8357,7511,10478,3020,16451,2041,2555,18192,2669,4048,16494,6227,15181,1360,1283,1101,1928,16201,4721,3948,15571,8998,17849,16605,6987,15255,14251,16904.05677769976
Александровский сад,13,ФИЛЁВСКАЯ,8020,2480,7343,6304,4384,18648,13287,13619,19840,4365,11688,17273,11277,19586,13819,14247,12909,17370,19495,11227,12366,15415,4541,6599,15592,5136,18578,12393,19369,11959,14770,3136,7882,7696,3669,13425,6416,19605,5681,16334,3751,4606,10030,18552,13644,16134,19234,3759,2544,11408,3872,13214,7442,6820,6324,7330,16775,2435,15634,9620,17395,3193,11129,10561,11159,13041,18987,19391,15332,10608,19837,3324,15809,6508,11997,12947,4949,5032,9424,8640,4344,14301,16574,15890,19420,9166,15575,15560,13989,11571,1163,9408.480014944518
Арбатская,13,ФИЛЁВСКАЯ,13506,16844,4770,8635,2293,18577,13402,11570,17578,15905,11700,10507,3331,9904,19772,16128,12488,6854,2061,7178,1383,2957,11995,13554,19699,2327,15870,2554,10873,8780,7952,11662,18052,13234,16022,18632,10157,12964,14521,1826,19340,12689,6230,19794,15635,8458,7450,8695,1559,9733,8102,1989,16822,13376,15297,16498,1853,5357,5182,5518,19928,2724,1334,11968,8910,19302,14963,18793,4549,7470,2868,2938,13974,18913,19516,7552,12491,12566,3136,16606,3176,17643,10362,17238,4401,18285,1113,15767,17292,10414,8285,5473.086905137218
Смоленская,13,ФИЛЁВСКАЯ,18231,17100,2691,16383,13048,17961,11921,1626,6889,5319,4513,3162,9199,10252,13281,19808,19934,3678,14875,3268,16186,8149,14491,9262,6819,17098,12224,12994,8200,16541,19171,11401,8163,4973,8898,11990,13062,5819,2606,14680,9386,11734,9092,13615,18958,6732,16966,15979,15403,13187,5044,2075,13908,17768,16850,7427,10950,12841,14744,2447,16800,9740,6176,4631,13192,19541,12359,1824,9099,12994,19052,18794,3487,6192,13349,1769,12156,6820,8418,16402,5773,10501,3693,6307,2243,16229,9874,18560,10859,15510,14977,5598.16944590928
Студенческая,13,ФИЛЁВСКАЯ,10843,19579,19405,19606,1179,4526,17319,15324,9382,6587,2899,5620,7741,4295,17219,10828,13270,6501,12165,13771,6500,6293,10517,18620,7664,14527,4618,11971,2730,11706,15835,10287,6027,12692,2034,13939,4668,17111,18937,4117,3860,9627,13911,18602,6675,6815,8765,8359,6686,3891,3625,16555,13671,13061,2127,2470,7149,17576,7499,15625,17746,18188,8303,1364,16218,11610,6064,15299,7586,16081,9583,3421,12448,3545,11564,6986,2817,4704,11119,9241,16549,11681,12530,2938,1407,18867,19867,5805,8515,5654,6833,15675.618059034045
Кутузовская,13,ФИЛЁВСКАЯ,3066,9428,17808,15717,4550,18187,19542,7432,6632,9027,1532,3825,4897,5574,10358,10873,14032,13219,10372,10128,14770,7917,13730,8286,4279,18241,11989,2930,18486,18752,12165,12662,2762,12886,15119,7520,1704,7765,15476,17904,4022,8585,4487,3232,7139,7126,12562,13762,17947,11497,3288,16400,15733,1287,11728,9725,8129,16011,19604,10897,5084,14065,10497,1716,5466,4547,3816,11005,12894,17095,3985,4420,14529,14252,18860,8916,4873,5029,15518,7958,17364,15241,2005,7241,5399,1459,12849,2184,8103,3531,8262,11300.207903976447
Фили,13,ФИЛЁВСКАЯ,14127,18651,17400,4993,17291,12620,15671,8855,1915,13700,9513,6842,14943,4977,12017,5465,7123,11286,7205,4154,1768,12500,4412,10281,6800,8967,14850,9152,3622,1950,19341,19496,5935,4742,9410,15948,17540,11973,19356,9737,16537,3414,9281,14138,7051,14955,16272,4631,19169,17103,1664,17440,10449,16863,10522,8188,1739,2575,17708,7683,13839,8961,15704,7083,6744,15416,6231,16402,9260,5513,14954,12903,7352,3417,5240,15961,18078,14357,4792,6968,1889,19684,4776,3337,5422,7994,10546,19599,16462,14780,2548,3289.5362842737513
Багратионовская,13,ФИЛЁВСКАЯ,17771,6559,12559,11787,13003,1322,13621,2983,17304,3033,6461,19800,5316,7749,3719,12978,16788,2596,8551,7424,7598,3947,18269,2084,11227,8600,2819,16784,5892,13948,15465,10139,3449,11501,3724,8812,9673,5889,12105,19820,17203,9113,12005,8107,16526,4504,8084,12659,8525,3244,11813,15772,14423,5226,7684,3164,19206,8089,4228,11170,16952,7575,13740,15233,6646,16704,11272,10548,13428,14287,11584,9132,16834,8439,10807,4003,4879,1825,7867,15261,10307,17425,19496,6475,8899,8817,15201,8459,13889,9015,3311,16805.116549013772
Филёвский парк,13,ФИЛЁВСКАЯ,12363,16202,19114,14265,17667,19626,2508,11976,3833,17403,8289,4586,18378,1909,15050,18355,1366,19310,6481,11423,13839,11246,3050,7779,13902,12743,5319,8698,9153,15647,4177,10310,12472,18836,1231,17830,9839,11147,6379,12835,9035,6816,18426,15128,14897,12138,12870,14403,5929,3710,18751,4145,12078,3453,13524,19250,6661,3800,7937,3468,1341,18153,2651,9840,7602,15354,19228,10901,16292,16072,14173,14232,1807,9702,1348,6327,8088,3097,4702,2950,10355,12260,14593,18280,13128,17726,6025,14967,19004,13475,1301,9658.39540971307
Пионерская,13,ФИЛЁВСКАЯ,18611,13714,1105,3814,1414,9644,11207,10366,3607,6475,6725,2582,9663,3605,15645,5166,6251,11981,19734,5045,7273,15222,2502,15484,18037,6342,7899,14675,9368,11827,17613,18746,9511,15948,6539,11748,1585,18274,4800,2718,7109,1912,19139,12855,11876,8285,13835,19827,3669,11867,14562,6354,8756,19382,5023,14279,5818,9596,15174,1521,14199,4859,8555,16784,10882,14458,16277,19758,13675,4233,19642,3921,16610,6894,2333,7411,8680,18852,16710,4131,15173,10418,11090,5759,9736,17769,9262,3801,10780,4118,10948,16247.480041058625
Кунцевская,13,ФИЛЁВСКАЯ,12958,5017,2732,8181,6037,18432,8818,10158,14090,7718,2134,12183,13976,15522,14185,14088,14203,15593,12109,11171,13897,1318,9269,4084,3188,1750,13372,4982,19335,14827,8783,2257,19120,13289,10876,14053,18454,12295,4220,15668,5022,8852,17089,18872,4465,17546,3729,16204,6921,7712,5619,11164,13725,11456,3090,16272,4831,9882,11185,5577,15296,6825,7188,13627,18484,9545,19169,12972,9880,19144,18363,18395,7062,11432,15863,8491,16596,5665,12733,19449,16646,2107,7732,17127,6161,9252,9259,3673,16866,6832,14357,4795.446544085227
Молодёжная,12,АРБАТСК-ПОКРОВСК,9664,14998,16294,19450,12637,16853,8591,9368,1229,4849,18216,11449,8512,14985,7696,7436,4024,1468,3751,14840,13688,10480,11455,19652,7206,6649,12385,17217,9744,2539,17298,5748,6702,3976,11495,14664,13115,7219,8689,15288,12825,10100,19739,16708,1379,4384,13231,11761,7940,8923,12024,12960,4011,17843,1496,4717,19187,14922,7351,14459,19967,7432,2580,5803,8770,12370,6116,17511,4789,9790,4743,18347,6723,10427,2637,7184,8847,12125,6063,9853,4960,13393,4707,13661,13478,19491,6985,8731,14429,2522,17317,17543.65928850854
Крылатское,12,АРБАТСК-ПОКРОВСК,1173,2521,5089,6336,11256,17207,6231,9126,15101,1085,4624,7254,17478,17428,5979,2757,4821,3370,5788,4993,3025,2165,4869,11411,18490,8065,7629,10061,6337,8109,19418,13605,14952,8376,2483,10759,17885,8046,5886,19392,9673,4373,12740,16747,14028,6140,6041,7777,12318,13390,11765,11192,16973,7627,9005,1069,7050,10852,14323,6219,15761,12351,11703,6831,7829,2062,11832,11131,5704,13433,3185,2318,17564,13685,13630,6004,9640,7054,14686,3647,2359,6419,13237,14423,19586,12342,15598,7012,5084,17979,18326,4327.249768409946
Белорусская,609,КОЛЬЦЕВАЯ,16243,14738,5745,4771,4029,13756,12916,6159,6100,11124,7016,6654,18737,5643,6848,8973,13590,6192,6103,14433,7043,3775,14492,18112,2752,5296,6658,13561,7024,12977,1408,1364,10688,12335,13909,10154,2976,19976,4395,13391,11639,12567,8881,7362,17406,6006,11769,10173,2160,9886,16062,14215,16610,15313,8056,13752,18168,19562,1411,15601,10988,16853,19039,6495,10132,8860,4334,13305,2260,15893,2002,8757,17934,8800,19073,5626,5465,4071,12301,5164,7945,4304,17415,9467,11845,11351,19762,10223,5968,11435,18914,13875.110214213231
Новослободская,609,КОЛЬЦЕВАЯ,8030,4100,6998,11760,17882,5477,3326,4586,15451,8024,19020,18650,14711,5151,16227,5192,12676,16091,17600,17703,11253,9798,15442,3637,3405,8285,13520,19642,15849,19493,19421,11328,1388,9687,9886,14814,6569,12104,14593,3400,6254,2466,6547,18284,4785,11181,5306,14136,17587,10149,11870,8244,10136,1007,14246,14609,6992,11796,4675,9879,15324,11240,19760,5846,3450,19403,13308,16704,12849,2345,6868,15113,7112,15977,9262,9105,2090,5048,1053,17796,1029,1985,15160,5233,15017,2702,18358,13668,1864,13039,10840,16874.664144402857
Проспект Мира,609,КОЛЬЦЕВАЯ,3844,2532,2817,15109,4171,9307,10228,14014,9220,8990,5008,10641,11539,4720,16657,17279,8227,2916,13638,5339,14487,18532,2211,2476,5913,19693,1617,17574,5523,10186,14305,17957,19879,7218,5176,8356,4367,5666,8460,19756,12620,5129,7549,13027,12239,19725,3801,16302,11544,7370,13630,19374,15618,4619,16122,16215,15086,11624,8036,1843,15318,15457,17785,14781,6218,3873,14544,17394,7164,6691,6006,3018,14956,6118,19173,2050,10465,3139,5265,9681,13031,4979,14141,3366,11971,5504,8539,5289,5904,11523,5669,18066.15959010402
Комсомольская,609,КОЛЬЦЕВАЯ,10827,4241,19851,14964,16800,16272,13427,13213,9983,9690,6659,13600,17206,3443,6010,8747,4518,13674,15543,8983,13388,1178,15421,1819,4690,8021,2069,13204,8184,12442,18699,5626,6880,17860,8150,2409,2709,19210,17251,6620,18604,16554,1755,7348,11125,18859,18705,10043,14844,1934,19182,15727,6740,19102,14047,19489,10328,14946,14847,2230,12933,13571,8474,4295,15710,11773,3149,7141,7071,14785,9208,11958,1272,4131,12384,17845,15633,11721,2890,5645,17622,6691,19346,13250,19845,2075,11651,14402,18150,10630,18611,15646.011574978755
Курская,609,КОЛЬЦЕВАЯ,3537,5751,8877,5803,17251,19365,5445,18471,16537,12256,6008,6366,9245,4674,15118,16665,7436,10517,16879,9855,12281,4739,2116,11470,13069,11817,15502,9882,14612,8108,12529,10314,6420,14131,17933,13647,6412,12592,13775,12425,7988,9131,6057,6623,9700,12437,4214,12691,2513,3192,6350,1217,16725,15612,2284,2039,17865,7421,14649,7921,18033,13390,6255,5446,7601,2201,2785,15096,18639,10601,12311,9698,14485,14947,13663,3650,2558,6415,9392,14825,11169,5446,1244,6898,19630,9087,8085,18565,3768,8202,6508,10683.915306295288
Таганская,609,КОЛЬЦЕВАЯ,14492,12397,5019,19786,10631,8654,5020,11066,5120,18109,16004,17348,17227,7379,7744,16391,7235,6457,5484,9873,13442,9262,5822,7144,14019,2030,4320,6564,13900,16139,9325,14162,10019,10217,19924,5231,14986,9975,15876,2134,15647,8866,13714,16098,12161,16957,13408,9149,17505,15763,14811,11760,2280,2719,7687,4246,10188,2186,17515,8818,14181,5885,4814,3577,11549,1286,14372,6026,13127,9069,12758,2301,10207,12210,5718,10273,10199,15072,17885,10015,2906,9344,6672,7802,12885,18001,4737,7584,5453,12441,5495,15591.685712877956
Павелецкая,609,КОЛЬЦЕВАЯ,16916,2237,2268,2474,7783,14477,19897,6257,19006,18194,12348,12363,17346,18608,19064,11191,5881,19175,9201,3411,19104,17805,12926,9850,18477,12936,13704,13970,7565,13540,7574,19164,16338,12449,7223,19188,12073,1664,8890,1562,3909,9848,10571,16730,15693,11354,17152,19990,12300,4778,5266,19779,12763,5060,12715,6895,14314,15107,11818,16921,2794,18923,19689,14517,3478,8436,14309,9614,6191,10860,6378,6609,12324,19832,16527,10844,10744,16653,6598,12754,11134,7792,7012,6218,4356,8962,18656,14241,14993,5023,6004,7217.966930842515
Добрынинская,609,КОЛЬЦЕВАЯ,19254,14315,8372,14561,7716,19640,19800,9711,2838,8069,17737,7960,6936,12782,17173,7505,6612,15042,2808,15135,6935,9504,15001,16374,10215,2354,11655,6538,13788,10600,5221,5130,8256,1586,12458,10612,4162,7229,19752,9629,16795,10372,11416,12880,7792,2370,16306,12202,7207,16775,12311,18775,10249,15577,18067,13699,13278,9891,4186,8475,5151,15032,14597,3974,15875,11728,1911,11970,19738,12112,15592,15312,11458,18441,8960,10201,4641,12340,11366,7597,18059,15199,5143,10094,10301,11003,6718,5246,7198,11251,19242,16030.089490953043
Октябрьская,609,КОЛЬЦЕВАЯ,2870,12798,11366,3089,17998,9363,5941,7722,8085,1385,12392,8022,4363,3482,3862,14379,2542,14184,17524,14807,8099,13966,12709,3767,3795,18618,8390,9981,9146,15393,7189,17668,6104,9541,12046,13780,2077,10994,13109,2818,10040,6358,5066,12316,4539,2531,11101,17896,12764,8489,5697,12465,14324,19650,17667,7469,6628,19815,10527,11576,15861,11735,15355,5894,13332,7832,12685,2705,2174,4844,3406,7034,17176,11652,8976,6774,15263,2113,4163,19245,4748,2911,2489,12868,8248,3012,5025,8550,5841,7941,4584,6271.918142080102
Парк культуры,609,КОЛЬЦЕВАЯ,9307,13875,4065,12981,15908,5512,18022,7842,13037,18884,8503,9818,6326,12268,11147,12313,8822,17230,10791,17238,6892,13523,2147,17936,5133,19470,13036,14873,14762,10514,13346,7906,12602,18467,16972,15741,18751,12746,16420,13075,4128,9184,1593,9188,14886,12181,5768,3156,12859,16365,7574,3461,19186,12404,4659,9736,12296,11213,17112,2583,4776,12742,8733,10279,14646,12355,8081,6856,8265,5196,8975,8377,6010,4949,12312,3163,13403,15320,18760,12691,19636,17353,6396,11281,13833,17652,2419,15524,5987,11089,17582,11270.995935561514
Киевская,609,КОЛЬЦЕВАЯ,15839,8795,13759,11163,2345,8887,1844,15216,19463,13988,6114,8312,11694,16176,16593,13263,9808,4783,13662,9304,1205,18790,5561,13052,7405,17798,12204,16198,16179,18616,13479,19056,1164,17049,6225,3372,19850,15128,5707,7798,6294,7771,6024,6186,7580,8657,1382,16044,18131,14653,3995,14512,12472,9385,18328,6721,5019,17881,17057,6738,7573,5481,2675,13767,19224,5772,17893,8221,16249,14045,9268,14652,15875,16921,17994,10566,17309,9836,14821,1070,5836,14381,17774,11937,17612,17379,10931,14666,3956,1820,8578,16046.385931641154
Краснопресненская,609,КОЛЬЦЕВАЯ,17407,13063,15961,7009,19413,6734,4718,9293,4079,2468,4146,12342,2631,11758,6773,7052,16822,13675,15479,9763,16512,4260,13860,18047,19736,8663,11584,5897,15259,11922,16709,7471,6511,12926,7332,5966,7906,15664,17317,3195,11827,4030,11019,15404,14574,16127,6357,16439,15078,7371,10308,5066,13455,1142,5448,9740,5976,17867,14547,15103,5888,19338,19901,8431,6030,14773,13128,8293,11542,2682,19383,5127,14291,8657,7872,4030,3977,9847,12380,1532,14031,18985,10125,1791,17896,14166,8625,16524,2962,2716,1969,12525.179427824358
Новогиреево,14,КАЛИНИНСКАЯ,4901,13241,7224,8959,15111,5435,5978,15573,11225,16369,14285,1099,12093,8292,1043,8201,11435,2215,10035,11055,18272,14107,9444,3098,19780,5388,18197,7359,13170,6449,12655,16690,2298,15802,10105,15835,9922,5449,3079,8515,5379,3415,10087,12362,19483,18549,19741,14124,11766,17206,7749,15426,8261,1498,5865,17110,5871,17826,10962,16554,18748,7022,3078,7110,12397,1112,4731,3925,8155,2337,16668,11917,12243,11823,13570,17620,8725,11229,16378,7772,9406,14935,4996,5401,12529,7998,13236,2950,15391,6765,10099,5153.862459485023
Перово,14,КАЛИНИНСКАЯ,19045,7316,7447,15424,11839,3489,11441,3175,3116,8213,16026,19482,5990,6070,19055,11730,13279,8524,9528,18927,10910,14283,16779,4590,15448,18152,4042,2542,15444,19931,14201,15182,1871,18653,5200,18708,17324,1671,18929,11753,7614,9542,17204,14735,18557,1494,2838,7093,6511,9376,15580,5884,2651,14544,2013,6055,1033,10205,10517,10797,2630,16847,7783,19435,3488,6668,19909,19100,2244,16686,15445,7321,7677,11414,1958,2656,8081,19768,6902,15953,7233,17804,9303,5403,11527,15339,8891,14009,19690,15150,17064,18577.03889920332
Шоссе Энтузиастов,14,КАЛИНИНСКАЯ,13819,9223,18382,7335,18722,8990,17101,16298,17416,11105,5723,1490,14508,4844,4393,12572,9789,11740,8259,18832,16236,2658,1960,2329,9218,7687,3120,18345,16569,13488,10635,18934,13814,10748,18983,11129,15393,10249,15808,16014,5913,13978,9404,19307,10340,3684,17768,9151,9537,17031,18842,19467,18369,10123,17772,4429,15357,10284,16391,9834,7345,18134,14259,13586,1989,16638,14080,19538,14718,10625,14666,14953,15098,16928,10487,2526,3110,14509,19391,14582,4004,13958,7035,12854,1610,15634,15075,7250,19409,1111,17142,10687.88450896135
Авиамоторная,14,КАЛИНИНСКАЯ,5751,9844,14503,4058,14424,6740,14365,11376,9698,1539,5787,16687,5191,10520,7663,14576,12484,5225,19741,15259,4825,11469,1166,18000,3745,4671,15296,18989,2878,9235,15773,14516,1816,3011,7738,8361,6336,8785,3914,12158,16072,9476,8808,3896,10298,18588,16790,16457,5355,17014,16572,16582,7801,3002,9562,2144,9938,7114,11915,5815,13317,10853,7870,17473,8825,2177,3554,3189,5187,10678,5465,8056,4811,3811,4499,18321,8733,11398,1104,12715,4186,13273,16750,2368,9644,9659,3601,10198,3755,7755,3231,8057.117376534957
Площадь Ильича,14,КАЛИНИНСКАЯ,10399,15297,17364,8372,9028,18259,9078,13331,2522,11864,16270,11966,9383,8480,7858,9222,11127,9078,1556,8898,7567,12915,19117,13471,13503,7641,11190,3914,12011,19472,13906,16582,12328,8247,12006,3726,7862,18877,7464,11057,5326,6316,2011,18045,7037,5165,3792,1413,15258,18480,7626,1304,15554,10292,19627,5917,8349,12876,12822,1061,14154,5985,1727,7237,13592,17257,2477,3141,12720,8420,4406,5320,12712,13488,18912,8229,9831,16382,9584,4007,3514,7305,8405,4177,2850,5883,4938,7328,18009,6188,9159,11961.354979721644
Марксистская,14,КАЛИНИНСКАЯ,8502,9592,7422,16652,13335,13558,13154,4276,19287,13227,3168,4835,12676,6994,13459,11459,1696,11406,4258,14138,10841,12374,11319,7556,5499,12812,11771,12269,5559,3793,9715,13178,19572,6512,5191,19347,8340,10663,12077,11258,15067,4349,15910,13967,2442,17085,18812,12242,14542,4899,2603,11210,16938,19136,18907,6507,9622,18873,3349,5528,7342,14591,16382,9257,11691,4956,10551,8258,16000,15442,2644,19536,12752,7273,1831,11544,19968,16859,19218,1303,1007,18232,8920,16432,9325,14010,2701,3274,4262,3075,16896,4047.6683579638475
Третьяковская,14,КАЛИНИНСКАЯ,11658,13819,3761,9639,18422,4443,11309,5323,6386,10131,17531,19995,2551,11927,18378,14661,14851,1695,8619,5215,15928,3462,4059,4449,11730,14582,18105,9266,6310,7617,16110,15474,2433,1932,14755,8190,17095,3719,18990,9586,18893,15688,10430,7637,3249,16235,12375,13734,9105,1618,13974,7812,10625,13469,3663,11943,4716,2446,19109,6538,13376,11355,9654,5759,5853,6316,15377,18074,8868,15229,1645,2485,14290,12650,8971,4698,3230,19605,9909,17159,5958,17393,18488,11694,15114,16413,17287,16481,9751,7197,7100,14060.88855283056
Медведково,15,КАЛУЖСКО-РИЖСКАЯ,4085,1527,15354,7623,18868,18347,18071,17629,6076,16297,13729,1856,5425,3325,16176,1449,17363,1521,17348,10783,1201,6156,18222,11181,5815,9067,18691,13484,7632,12985,3999,16118,13360,19984,8114,8815,9302,3271,11219,16775,6795,3860,3043,6506,13827,13250,13778,6544,9926,8856,1678,15884,6342,2232,9851,5503,14169,10163,1733,7293,4381,19335,9987,12059,16926,13464,19731,1840,4631,12620,3141,9593,2041,6682,6962,5965,13586,6534,5016,1253,13263,5055,14316,18983,17839,11337,14527,17368,5300,14873,13346,14288.601568823558
Бабушкинская,15,КАЛУЖСКО-РИЖСКАЯ,3408,7145,17896,14946,3383,5101,14502,2409,13377,12179,16773,17875,11714,12155,16773,8915,6138,12496,15852,14086,19240,17708,11664,12345,19193,17816,19864,15336,16848,5719,18435,14709,5011,15977,9072,10516,4614,16844,2734,8848,9246,4582,3036,13889,7832,15155,4380,13795,8661,4322,1419,18465,16750,7637,4861,13136,11131,17389,2639,16780,16154,10450,18962,19134,7806,15709,19639,7875,18663,10492,1328,16431,5642,10910,6185,19172,17406,19783,17696,15316,16926,19583,10584,15676,16274,11327,3090,5421,10063,9831,14742,5935.277594091752
Свиблово,15,КАЛУЖСКО-РИЖСКАЯ,7796,9290,14230,3402,1518,13679,6387,17453,10800,5954,4451,15734,12420,17134,2253,2349,6789,13596,11528,13197,19496,8630,1622,15126,15300,14345,18722,8399,10770,9668,7908,9773,2254,7763,15718,7756,4909,4768,2018,17151,8533,9878,8350,5432,2348,4675,1952,11850,7830,9319,15514,1284,4282,18666,18253,6533,14494,3909,8995,2495,11785,9732,16053,17518,12114,13074,6447,12528,19634,8355,19620,9055,3013,13084,4392,4107,10966,14137,19893,18113,17247,15799,11497,12638,18245,8120,7629,4222,15255,19850,9181,14193.955577061231
Ботанический сад,15,КАЛУЖСКО-РИЖСКАЯ,4179,14600,15960,17415,11037,15920,4484,18975,6379,13955,10274,12667,15381,1827,7014,9108,15787,10951,12759,18577,18058,10585,8044,4773,18490,8283,3244,18423,6663,15425,14106,14907,4623,18971,4129,16683,4676,6224,12969,7199,19306,6395,2446,12346,14863,11615,7847,4347,5032,17789,11203,5860,14693,7987,6740,8015,16030,7259,9690,13105,9647,15743,7701,5770,13132,19208,3250,12106,8131,18049,7179,1388,18268,15802,3712,12481,8462,17793,10324,2724,18074,12616,6899,1613,13620,15950,4878,13779,10097,9268,6110,11227.225870037744
ВДНХ,15,КАЛУЖСКО-РИЖСКАЯ,10851,19349,18011,3075,17132,14781,15999,4592,16327,11960,1210,18095,16355,13396,14366,8370,7166,16453,13138,4259,17309,8097,19076,10071,6059,9525,16494,13391,14831,10794,2738,16513,15130,18363,13396,19682,11314,9112,6775,10781,17298,5823,11700,7395,2824,13271,1369,7380,6075,9511,6032,2726,7476,18239,7793,13625,14135,19718,7522,15498,2823,10312,12680,13950,7109,4351,19175,15767,3678,6606,12517,4987,11485,4538,5219,6566,16456,15812,16699,1885,15558,2441,6837,15114,2594,18147,16715,17129,1932,18313,2074,3470.4751177650232
